やろう	野郎	n, pn	guy, fellow, chap, buddy,bastard, asshole, arsehole, son of a bitch	No way!!	ケッ……！！あの野郎が金ももらわねえでいなくなるわけねえだろ！！
あるく	歩く	v5k, vi	to walk	leftright: walk  [OK]: speak/execute	左　　　右：歩く　　　□　　○：話す／決定
まがる	曲がる	v5r, vi	to bend, to curve, to warp, to wind, to twist,to turn,to be awry, to be askew, to be crooked	[PAGEUP]/[PAGEDOWN]: turn.	Ｌ１／Ｒ１ボタン：チョコッとまがる
ソフト		n	soft,software,soft hat, felt hat,soft serve ice cream,softball	[How to restart]	『ソフトリセット方法』
リセット		n, vs	reset	[How to restart]	『ソフトリセット方法』
スタート		n, vs	start	You must quit the game in order to restart.	Ｌ１＆Ｌ２＆Ｒ１＆Ｒ２＆セレクト＆スタート
どうじに	同時に	adv, conj	coincident with, while, simultaneously	To quit the game, either select QUIT	以上のボタンを同時に押すとリセットがかかります。
かかる	掛かる	v5r	to take (a resource, e.g. time or money),to hang,to come into view, to arrive,to come under (a contract, a tax),to start (engines, motors),to attend, to deal with, to handle,to have started to, to be on the verge of,to overlap (e.g. information in a manual), to cover,to (come) at,to be fastened,to be covered (e.g. with dust, a table-cloth, etc.),to be caught in,to get a call,to depend on	To quit the game, either select QUIT	以上のボタンを同時に押すとリセットがかかります。
フィールド		n	field	in the Main Menu or press CTRL+Q.	（フィールド上のみ有効）
ゆうこう	有効	n	valid, effective,yuko (judo)	in the Main Menu or press CTRL+Q.	（フィールド上のみ有効）
ゆび	指	n	finger, toe, digit	Huh? Finger!? What the hell?	ん？　指！？なんだ、おまえ？
ポジション		n	position	I'm the position cursor!! Call me whenever you're walking around confused!	ボク、【ポジションカーソル】！！歩いている時、迷ったらボクを呼び出して！
カーソル		n	cursor	I'm the position cursor!! Call me whenever you're walking around confused!	ボク、【ポジションカーソル】！！歩いている時、迷ったらボクを呼び出して！
まよう	迷う	v5u, vi	to lose one's way,to waver, to hesitate, to be of two minds over, to be puzzled, to be perplexed,to give into temptation, to lose control of oneself,to turn in one's grave	I'm the position cursor!! Call me whenever you're walking around confused!	ボク、【ポジションカーソル】！！歩いている時、迷ったらボクを呼び出して！
よびだす	呼び出す	v5s, vt	to summon, to call (e.g. phone), to convene, to decoy, to lure,to invoke (e.g. subroutine), to call, to open (e.g. a file)	I'm the position cursor!! Call me whenever you're walking around confused!	ボク、【ポジションカーソル】！！歩いている時、迷ったらボクを呼び出して！
きみ	君	n	you, buddy, pal,monarch, ruler, sovereign, (one's) master	Push [ASSIST] and I'll appear over your shiny little head.	セレクトボタンを押せばボクが君のツンツン頭のうえにつきまとうよ
つきまとう	付きまとう	v5u, vi	to follow around, to shadow, to tag along	Push [ASSIST] and I'll appear over your shiny little head.	セレクトボタンを押せばボクが君のツンツン頭のうえにつきまとうよ
めだつ	目立つ	v5t, vi	to be conspicuous, to stand out	Geez, you stand out even more than I do…	俺より目立つな……
じゃま	邪魔	n	hindrance, obstacle, nuisance,to visit (somebody's home),demon who hinders Buddhist training, demon who obstructs sentient beings from maintaining moral behaviour	Am I in the way? If so, just push [ASSIST] one more time.	ボクがじゃまかい？そんなときはもう一度セレクトボタンを押してね
けっこう	結構	n	splendid, nice, wonderful, delicious, sweet,sufficient, fine (in the sense of "I'm fine"), (by implication) no thank you,well enough, OK, tolerable,quite, reasonably, fairly, tolerably,construction, architecture	I'm pretty busy myself, and can't always come when you need me. If I don't show up sometimes, don't get mad.	それから、ボクはこう見えてもけっこういそがしいからいつでも登場はできないんだ。でてこなくても怒らないで！
とうじょう	登場	n, vs	entry (on stage), appearance (on screen),entrance, introduction (into a market)	I'm pretty busy myself, and can't always come when you need me. If I don't show up sometimes, don't get mad.	それから、ボクはこう見えてもけっこういそがしいからいつでも登場はできないんだ。でてこなくても怒らないで！
さらに	更に	adv, conj	furthermore, again, after all, more and more, moreover, even more	But wait!!	さらに！！
いりぐち	入口	n, adj-no	entrance, entry, gate, approach, mouth	[Red triangles] mark the exits and [Green triangles] mark ladders.	入口をあらわす『赤サンカク』とはしごなどをあらわす『緑サンカク』も表示されます。
あか	赤	n	red, crimson, scarlet,red-containing colour (e.g. brown, pink, orange),Red (i.e. communist),red light (traffic),red ink (i.e. in finance or proof-reading), (in) the red,complete, total, perfect, obvious,copper	[Red triangles] mark the exits and [Green triangles] mark ladders.	入口をあらわす『赤サンカク』とはしごなどをあらわす『緑サンカク』も表示されます。
よみち	夜道	n	street at night, making a night journey	These will help you safely make it through even the darkest streets or dangerous mountains! But, there are times when they won't appear, so be careful.	これで、暗い夜道も険しい山道もご安心！なお、フィールドによっては表示されないことがあります。御注意ください。
やまみち	山道	n	mountain road, mountain trail	These will help you safely make it through even the darkest streets or dangerous mountains! But, there are times when they won't appear, so be careful.	これで、暗い夜道も険しい山道もご安心！なお、フィールドによっては表示されないことがあります。御注意ください。
むすこ	息子	n	son,penis	Ha!  Ha!…… I wonder if my son's already left?	ハッハッ……。息子はもう旅立ちましたかな？
たびだつ	旅立つ	v5t, vi	to begin a trip, to depart, to embark,to die, to pass away, to depart this life	Ha!  Ha!…… I wonder if my son's already left?	ハッハッ……。息子はもう旅立ちましたかな？
かない	家内	n	(my) wife,inside the home, one's family	When it's just my wife and I here, you have no idea how lonesome it gets.	こうして家内と私、二人きりになってみるといやはや、さびしいものですなあ
きり	切り	prt	end, finish, stop,bounds, limits,delivery date (of a futures contract),finale (of a noh song), end of an act (in jōruri or kabuki), final performance of the day (in vaudeville),counter for slices (esp. thick slices), counter for cuts (e.g. fish, meat),only, just,since, after,remaining (in a particular state)	When it's just my wife and I here, you have no idea how lonesome it gets.	こうして家内と私、二人きりになってみるといやはや、さびしいものですなあ
